2 WEEK ENDING SUN, Rental Revenue 6800 , All Revenue 6800 , Payroll 6800 ,Wage Hours 6800, Rental Revenue 3607 , All Revenue 3607 , Payroll 3607 ,Wage Hours 3607, Rental Revenue 8101 , All Revenue 8101 , Payroll 8101 ,Wage Hours 8101, Rental Revenue 728 , All Revenue 728 , Payroll 728 ,Wage Hours 728
2022-01-16,"12,424","15,784","22,182 ","1,015 ","4,394","8,900","5,888 ",286,"1,768","2,186","15,582 ",681 ,,,,
2022-01-30,"17,854","21,560","18,966 ",934 ,"6,631","11,861","6,628 ",295,"2,171","2,332","15,625 ",679 ,,,,
2022-02-13,"18,115","22,302","20,807 ",988 ,"5,981","11,875","6,653 ",302,"12,421","15,438","17,833 ",743 ,,,,
2022-02-27,"19,534","22,322","21,721 ","1,016 ","5,321","10,287","6,585 ",306,"5,542","8,257","17,977 ",767 ,,,,
2022-03-13,"34,825","42,554","21,646 ",993 ,"7,969","10,451","7,029 ",305,"6,654","9,710","19,285 ",818 ,,,,
2022-03-27,"32,900","36,520","22,005 ","1,024 ","12,809","15,418","6,857 ",310,"15,188","17,944","19,929 ",846 ,,,,
2022-04-10,"38,041","31,041","22,089 ","1,015 ","16,605","16,605","6,732 ",299,"25,678","25,678","18,962 ",846 ,,,,
2022-04-24,"49,699","49,699","22,303 ","1,037 ","19,417","19,417","7,144 ",314,"21,079","21,079","23,264 ",809 ,,,,
2022-05-08,"56,503","56,503","21,088 ","1,024 ","26,410","26,410","9,204 ",421,"20,190","20,190","23,580 ",919 ,,,,
2022-05-22,"67,815","67,815","23,015 ","1,103 ","39,760","44,760","10,474 ",474,"71,176","71,176","29,783 ","1,145 ",,,,
2022-06-05,"78,055","77,613","20,778 ","1,089 ","45,676","48,126","8,547 ",440,"62,573","62,148","29,472 ","1,236 ",,,,
2022-06-19,"64,687","64,687","22,131 ","1,107 ","54,933","54,933","11,357 ",551,"158,735","158,735","33,837 ","1,360 ",,,,
2022-07-03,"56,538","56,538","24,458 ","1,293 ","47,973","47,973","11,362 ",557,"170,672","170,672","32,078 ","1,198 ",,,,
2022-07-17,"47,669","54,669","23,055 ","1,269 ","34,196","34,196","9,616 ",501,"55,531","55,531","27,575 ","1,112 ",,,,
2022-07-31,"75,654","75,654","25,832 ","1,289 ","43,072","43,072","10,082 ",484,"90,711","90,711","29,784 ","1,072 ",,,,
2022-08-14,"49,610","52,898","25,658 ","1,299 ","37,933","42,288","8,903 ",445,"78,115","88,694","32,414 ","1,194 ",,,,
2022-08-28,"61,215","67,700","24,255 ","1,244 ","36,034","40,928","9,023 ",434,"65,809","79,063","29,647 ","1,115 ",,,,
2022-09-11,"51,027","56,269","21,552 ","1,189 ","36,002","41,535","5,870 ",295,"83,433","100,815","24,608 ","1,016 ",,,,
2022-09-25,"58,112","64,879","22,860 ","1,083 ","38,864","44,069","5,456 ",270,"112,257","133,350","36,578 ","1,047 ",,,,
2022-10-09,"72,101","80,148","24,650 ","1,113 ","34,915","41,022","5,743 ",269,"80,321","92,610","29,465 ",930 ,,,,
2022-10-23,"70,363","79,205","24,100 ","1,111 ","40,902","46,737","8,185 ",369,"46,262","60,335","20,441 ",765 ,,,,
2022-11-06,"59,936","67,118","23,846 ","1,113 ","44,516","50,438","8,847 ",416,"38,449","47,130","17,772 ",782 ,,,,
2022-11-20,"46,297","51,729","23,081 ","1,100 ","21,595","25,641","8,143 ",385,"13,775","18,095","17,015 ",718 ,,,,
2022-12-04,"38,869","42,783","20,292 ","1,059 ","14,253","6,137","7,405 ",363,"6,112","7,776","14,929 ",647 ,,,,
2022-12-18,"45,489","48,634","21,912 ","1,002 ","8,084","11,364","8,020 ",384,"31,769","39,271","15,750 ",718 ,,,,
2023-01-01,"18,987","22,269","15,769 ",920 ,"5,367","8,333","5,194 ",304,"12,585","15,872","13,597 ",666 ,,,,
2023-01-15,"24,702","27,931","21,373 ",941 ,"7,030","9,032","7,864 ",365,"8,195","9,861","16,923 ",692 ,,,,
2023-01-29,"18,822","22,288","20,165 ",929 ,"8,601","11,808","7,457 ",344,"11,053","13,325","18,533 ",751 ,,,,
2023-02-12,"14,895","18,503","21,295 ",945 ,"8,216","11,990","7,420 ",329,"19,428","23,551","20,740 ",896 ,,,,
2023-02-26,"21,380","24,168","19,524 ",930 ,"11,458","14,557","7,222 ",356,"9,483","11,647","18,472 ",742 ,,,,
2023-03-12,"24,239","26,655","20,923 ",937 ,"6,137","8,407","7,729 ",354,"8,772","12,175","18,650 ",771 ,,,,
2023-03-26,"25,044","28,536","21,237 ",931 ,"9,550","11,985","7,362 ",348,"22,252","26,405","18,701 ",778 ,,,,
2023-04-09,"22,504","26,297","21,240 ",927 ,"10,180","13,237","7,919 ",354,"6,815","17,853","17,898 ",757 ,,,,
2023-04-23,"32,584","40,647","20,848 ",935 ,"21,911","26,038","8,859 ",408,"15,861","23,165","22,240 ",912 ,,,,
2023-05-07,"50,353","59,268","19,990 ",937 ,"36,872","43,238","10,878 ",501,"21,060","29,744","30,040 ","1,257 ",,,,
2023-05-21,"49,871","57,710","20,619 ",933 ,"39,909","47,446","9,618 ",436,"60,176","71,274","34,460 ","1,457 ",,,,
2023-06-04,"61,875","74,560","17,427 ",866 ,"42,420","49,858","8,931 ",453,"87,330","107,418","33,706 ","1,638 ",,,,
2023-06-18,"64,663","74,320","18,639 ",814 ,"37,839","45,051","9,772 ",460,"130,180","154,906","44,410 ","1,911 ",,,,
2023-07-02,"57,634","67,105","17,530 ",813 ,"36,149","43,665","10,150 ",481,"125,359","147,968","37,257 ","1,617 ",,,,
2023-07-16,"50,622","58,869","16,343 ",819 ,"31,793","37,757","9,041 ",490,"40,168","52,317","29,400 ","1,360 ",,,,
2023-07-30,"54,102","60,705","18,342 ",815 ,"33,277","40,364","10,085 ",473,"58,814","75,503","32,038 ","1,378 ",,,,
2023-08-13,"58,765","67,494","17,601 ",814 ,"31,332","38,699","9,533 ",442,"108,363","132,257","38,569 ","1,652 ",,,,
2023-08-27,"47,242","54,994","18,438 ",801 ,"37,885","44,280","9,458 ",432,"83,877","101,179","33,435 ","1,466 ",,,,
2023-09-10,"51,294","58,591","15,778 ",813 ,"31,875","38,404","8,312 ",423,"61,345","78,950","31,233 ","1,395 ",,,,
2023-09-24,"49,734","58,778","18,425 ",800 ,"33,011","40,558","8,844 ",411,"105,189","129,645","35,970 ","1,532 ",,,,
2023-10-08,"48,963","55,828","18,771 ",803 ,"30,968","36,325","8,510 ",407,"76,688","92,292","31,408 ","1,323 ",,,,
2023-10-22,"68,195","77,685","17,791 ",783 ,"37,599","44,556","9,112 ",413,"35,585","54,324","23,913 ","1,062 ",,,,
2023-11-05,"59,028","64,436","17,790 ",781 ,"39,006","45,274","9,122 ",425,"42,707","51,426","21,202 ",949 ,,,,
2023-11-19,"44,861","49,667","15,404 ",716 ,"32,288","37,159","8,454 ",399,"18,986","26,083","20,119 ",862 ,,,,
2023-12-03,"47,966","55,592","12,617 ",656 ,"24,441","29,694","6,591 ",389,"10,149","12,045","16,309 ",810 ,,,,
2023-12-17,"54,158","57,764","14,906 ",628 ,"17,168","20,517","7,414 ",392,"14,957","20,276","19,083 ",828 ,,,,
2023-12-31,"17,998","22,844","13,165 ",628 ,"9,314","12,025","6,093 ",397,"8,971","12,071","16,164 ",810 ,,,,
2024-01-14,"29,206","32,523","13,862 ",646 ,"5,501","8,646","7,546 ",388,"3,674","6,083","16,788 ",783 ,"1,988","3,180","5,399 ",235.0
2024-01-28,"16,173","18,203","15,145 ",634 ,"4,803","7,984","8,305 ",395,"4,487","7,381","17,306 ",794 ,"2,153","2,895","5,780 ",234.0
2024-02-11,"23,227","25,431","12,784 ",651 ,"13,615","16,523","8,244 ",390,"7,156","10,964","18,387 ",759 ,"3,593","5,449","5,547 ",220.0
2024-02-25,"19,148","21,508","15,177 ",646 ,"10,740","13,369","7,923 ",361,"8,646","12,645","18,728 ",780 ,"2,844","6,332","5,589 ",218.0
2024-03-10,"28,765","31,682","14,449 ",633 ,"11,040","14,139","7,305 ",359,"7,460","11,665","18,754 ",779 ,"5,053","7,577","5,666 ",208.0
2024-03-24,"27,261","29,098","15,272 ",643 ,"10,924","13,565","8,040 ",392,"7,696","12,264","19,169 ",801 ,"6,748","10,259","6,585 ",274.0
2024-04-07,"27,190","30,197","15,787 ",662 ,"8,639","11,509","8,385 ",397,"5,704","7,469","17,834 ",820 ,"2,729","4,798","9,681 ",414.0
2024-04-21,"37,446","40,785","15,755 ",656 ,"18,011","22,810","9,061 ",428,"20,900","27,791","22,420 ",934 ,"21,553","24,869","9,630 ",423.0
2024-05-05,"51,490","58,696","15,490 ",655 ,"25,985","31,173","8,422 ",380,"20,179","24,446","24,844 ","1,061 ","15,109","20,680","10,127 ",438.0
2024-05-19,"54,824","62,189","15,380 ",676 ,"28,741","34,911","9,197 ",398,"82,988","92,679","30,583 ","1,306 ","23,399","29,812","9,469 ",407.0
2024-06-02,"57,108","64,779","14,464 ",733 ,"24,566","29,964","8,473 ",419,"75,876","92,395","32,544 ","1,535 ","25,044","31,317","9,187 ",433.0
2024-06-16,"47,225","55,735","16,642 ",732 ,"32,473","39,508","9,131 ",415,"154,575","188,143","46,147 ","2,045 ","47,360","59,728","10,290 ",451.0
2024-06-30,"61,996","70,244","16,589 ",713 ,"23,858","29,059","8,909 ",409,"150,692","177,183","42,253 ","1,874 ","35,140","43,205","9,568 ",418.0
2024-07-14,"47,067","53,855","14,925 ",717 ,"28,826","34,647","7,423 ",393,"30,685","38,396","23,255 ","1,115 ","26,101","31,397","9,829 ",461.0
2024-07-28,"62,417","71,114","18,799 ",815 ,"26,433","31,021","8,869 ",380,"60,159","73,435","32,148 ","1,475 ","25,522","33,098","10,624 ",461.0
2024-08-11,"51,442","57,688","17,343 ",794 ,"29,541","35,106","9,389 ",406,"91,648","108,762","39,101 ","1,729 ","26,630","33,093","10,687 ",476.0
2024-08-25,"79,024","86,676","17,378 ",763 ,"28,777","34,395","8,786 ",398,"88,345","106,312","33,106 ","1,470 ","25,451","31,419","10,006 ",444.0
2024-09-08,"57,499","63,185","15,750 ",773 ,"32,625","39,694","8,238 ",415,"58,027","71,839","24,860 ","1,187 ","19,157","25,531","9,614 ",465.0
2024-09-22,"72,436","80,416","16,031 ",747 ,"40,162","46,743","8,926 ",396,"76,902","95,442","33,281 ","1,440 ","26,668","31,929","10,052 ",451.0
2024-10-06,"48,003","52,590","16,122 ",759 ,"34,557","41,041","8,263 ",394,"63,584","78,439","28,017 ","1,229 ","27,583","34,290","10,263 ",448.0
2024-10-20,"64,139","72,207","15,880 ",680 ,"35,811","42,939","9,824 ",422,"73,898","100,252","27,804 ","1,216 ","27,095","33,721","10,664 ",454.0
2024-11-03,"57,405","64,521","15,732 ",672 ,"33,120","39,052","9,583 ",420,"16,548","20,117","21,262 ",877 ,"27,384","35,319","10,411 ",444.0
2024-11-17,"45,002","51,533","14,518 ",703 ,"24,535","28,382","9,153 ",399,"17,930","22,694","19,676 ",819 ,"22,732","28,395","8,503 ",412.0
2024-12-01,"38,306","41,284","13,356 ",647 ,"21,287","25,395","7,289 ",397,"10,501","13,413","17,444 ",799 ,"12,836","16,854","6,765 ",317.0
2024-12-15,"52,679","63,775","14,986 ",655 ,"8,551","11,761","9,028 ",397,"14,832","18,959","18,049 ",799 ,"10,462","13,202","6,566 ",313.0
2024-12-29,"22,410","25,275","12,469 ",631 ,"7,854","11,258","6,583 ",354,"22,082","27,194","16,777 ",749 ,"9,436","11,412","6,235 ",305.0
2025-01-12,"17,638","20,705","12,627 ",625 ,"8,289","13,670","6,932 ",374,"6,173","7,546","17,479 ",764 ,"4,957","6,212","5,624 ",272.0
2025-01-26,"19,755","21,004","15,084 ",639 ,"4,001","8,662","7,848 ",345,"3,715","4,548","20,158 ",817 ,"3,479","4,774","6,748 ",288.0
2025-02-09,"18,111","20,373","15,387 ",655 ,"11,349","15,470","8,528 ",384,"17,451","21,885","20,666 ",858 ,"5,024","6,396","7,191 ",301.0
2025-02-23,"12,376","13,390","15,090 ",653 ,"11,359","16,216","8,157 ",359,"14,621","18,716","21,798 ",877 ,"2,689","4,300","6,966 ",304.0
2025-03-09,"20,209","23,052","14,444 ",625 ,"7,441","9,132","6,100 ",284,"10,340","13,468","21,256 ",848 ,"4,090","5,538","7,100 ",310.0
2025-03-23,"19,363","21,302","13,848 ",559 ,"13,952","15,964","7,405 ",314,"6,987","11,114","21,464 ",862 ,"9,601","12,221","7,416 ",304.0
2025-04-06,"33,865","37,282","14,131 ",579 ,"17,282","21,378","6,802 ",311,"5,543","7,830","22,335 ",919 ,"10,309","12,593","6,907 ",310.0
2025-04-20,"34,594","38,939","15,039 ",618 ,"16,463","19,946","9,866 ",435,"13,151","19,397","22,573 ",936 ,"21,297","27,116","8,262 ",358.0
2025-05-04,"45,699","51,586","16,826 ",698 ,"30,474","35,974","9,497 ",398,"27,300","34,926","23,046 ","1,010 ","26,364","33,258","8,228 ",378.0
2025-05-18,"51,505","59,415","17,329 ",689 ,"38,888","45,613","8,038 ",311,"30,530","37,610","27,384 ","1,142 ","27,545","33,478","8,092 ",353.0
2025-06-01,"48,925","56,751","15,383 ",689 ,"32,981","38,836","6,013 ",283,"42,444","54,375","24,453 ","1,125 ","29,382","35,355","7,358 ",367.0
2025-06-15,"45,936","53,473","17,874 ",729 ,"46,421","54,135","8,981 ",390,"112,385","140,831","42,809 ","1,791 ","37,284","44,526","9,809 ",441.0
2025-06-29,"47,450","53,289","16,781 ",767 ,"30,251","36,428","8,586 ",372,"130,386","161,346","40,420 ","1,744 ","37,103","45,753","9,008 ",419.0
2025-07-13,"63,248","72,850","16,172 ",789 ,"30,708","37,350","6,980 ",338,"37,913","48,160","20,433 ","1,022 ","22,370","27,131","5,787 ",301.0
2025-07-27,"54,318","59,984","18,375 ",799 ,"31,495","37,426","9,200 ",386,"43,767","53,981","30,482 ","1,372 ","22,201","27,831","7,208 ",325.0
2025-08-10,"48,509","54,656","18,006 ",824 ,"24,889","29,874","8,272 ",333,"68,494","88,491","37,350 ","1,647 ","25,037","26,280","7,492 ",342.0
2025-08-24,"46,320","51,172","18,623 ",805 ,"28,056","33,549","8,483 ",344,"71,079","88,785","31,105 ","1,282 ","19,733","26,552","6,858 ",318.0
2025-09-07,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-09-21,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-10-05,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-10-19,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-11-02,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-11-16,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-11-30,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-12-14,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
2025-12-28,0,0,0 ,0 ,0,0,0 ,0,0,0,0 ,0 ,0,0,0 ,0.0
